election_id,party_id,party_display_name,party_source_label,votes,vote_share,seats,seat_share,seat_delta
ge-2019,conservative-party,Conservative Party,Conservative,13966454,0.4368033141679052,365,0.5624036979969184,0.12560038382901317
ge-2019,labour-party,Labour Party,Labour,10269051,0.3211663826880639,202,0.31124807395993837,-0.009918308728125547
ge-2019,liberal-democrats,Liberal Democrats,Liberal Democrat,3696419,0.11560615670614845,11,0.01694915254237288,-0.09865700416377557
ge-2019,scottish-national-party,Scottish National Party,Scottish National Party,1242380,0.03885565380131006,48,0.07395993836671803,0.03510428456540798
ge-2019,green-party,Green Party,Green Party,860119,0.02690037355070832,1,0.0015408320493066256,-0.025359541501401694
ge-2019,the-brexit-party,The Brexit Party,The Brexit Party,644257,0.020149251397374886,0,0,-0.020149251397374886
ge-2019,democratic-unionist-party,Democratic Unionist Party,Democratic Unionist Party,244128,0.007635146292765676,8,0.012326656394453005,0.004691510101687329
ge-2019,independent,Independent,Independent,197047,0.006162679707164267,0,0,-0.006162679707164267
ge-2019,sinn-fein,Sinn Féin,Sinn Féin,181853,0.005687484675163506,7,0.01078582434514638,0.005098339669982873
ge-2019,plaid-cymru,Plaid Cymru,Plaid Cymru,153265,0.004793389928892759,4,0.0061633281972265025,0.0013699382683337435
ge-2019,alliance,Alliance,Alliance,134115,0.004194470298590366,1,0.0015408320493066256,-0.00265363824928374
ge-2019,social-democratic-and-labour-party,Social Democratic & Labour Party,Social Democratic & Labour Party,118737,0.003713520634110459,2,0.0030816640986132513,-0.0006318565354972079
ge-2019,ulster-unionist-party,Ulster Unionist Party,Ulster Unionist Party,93123,0.002912438262801555,0,0,-0.002912438262801555
ge-2019,the-yorkshire-party,The Yorkshire Party,The Yorkshire Party,29201,0.0009132664294757279,0,0,-0.0009132664294757279
ge-2019,uk-independence-party,UK Independence Party,UK Independence Party,22817,0.0007136057025905854,0,0,-0.0007136057025905854
ge-2019,ashfield-independents,Ashfield Independents,Ashfield Independents,13498,0.00042215233262776536,0,0,-0.00042215233262776536
ge-2019,liberal,Liberal,Liberal,10876,0.00034014881979993895,0,0,-0.00034014881979993895
ge-2019,the-independent-group-for-change,The Independent Group for Change,The Independent Group for Change,10006,0.0003129394162300652,0,0,-0.0003129394162300652
ge-2019,aontu,Aontú,Aontú,9814,0.00030693458233878274,0,0,-0.00030693458233878274
ge-2019,official-monster-raving-loony-party,Official Monster Raving Loony Party,Official Monster Raving Loony Party,9739,0.0003045889441000005,0,0,-0.0003045889441000005
ge-2019,people-before-profit-alliance,People Before Profit Alliance,People Before Profit Alliance,7526,0.00023537697846766646,0,0,-0.00023537697846766646
ge-2019,birkenhead-social-justice-party,Birkenhead Social Justice Party,Birkenhead Social Justice Party,7285,0.00022783966092704627,0,0,-0.00022783966092704627
ge-2019,christian-peoples-alliance,Christian Peoples Alliance,Christian Peoples Alliance,6486,0.00020285079488988636,0,0,-0.00020285079488988636
ge-2019,heavy-woollen-district-independents,Heavy Woollen District Independents,Heavy Woollen District Independents,6432,0.00020116193535796317,0,0,-0.00020116193535796317
ge-2019,social-democratic-party,Social Democratic Party,Social Democratic Party,3295,0.00010305170662383219,0,0,-0.00010305170662383219
ge-2019,animal-welfare-party,Animal Welfare Party,Animal Welfare Party,3086,0.00009651519473175907,0,0,-0.00009651519473175907
ge-2019,the-north-east-party,The North East Party,The North East Party,2637,0.00008247264047558284,0,0,-0.00008247264047558284
