election_id,party_id,party_display_name,party_source_label,votes,vote_share,seats,seat_share,seat_delta
ge-2015,conservative-party,Conservative Party,Conservative,11299609,0.3687400659049408,330,0.5084745762711864,0.13973451036624562
ge-2015,labour-party,Labour Party,Labour,9347273,0.30502949810488783,232,0.3574730354391371,0.05244353733424928
ge-2015,uk-independence-party,UK Independence Party,UK Independence Party,3869424,0.12627088784878837,1,0.0015408320493066256,-0.12473005579948175
ge-2015,liberal-democrats,Liberal Democrats,Liberal Democrat,2415916,0.07883857087982434,8,0.012326656394453005,-0.06651191448537133
ge-2015,scottish-national-party,Scottish National Party,Scottish National Party,1454436,0.04746260038683803,56,0.08628659476117104,0.03882399437433301
ge-2015,green-party,Green Party,Green Party,1143408,0.0373128257160258,1,0.0015408320493066256,-0.035771993666719175
ge-2015,democratic-unionist-party,Democratic Unionist Party,Democratic Unionist Party,184260,0.006012955363645272,8,0.012326656394453005,0.006313701030807733
ge-2015,plaid-cymru,Plaid Cymru,Plaid Cymru,181704,0.005929545432518184,3,0.004622496147919877,-0.001307049284598307
ge-2015,sinn-fein,Sinn Féin,Sinn Féin,176232,0.005750977692640474,4,0.0061633281972265025,0.0004123505045860289
ge-2015,ulster-unionist-party,Ulster Unionist Party,Ulster Unionist Party,114935,0.00375067309628009,2,0.0030816640986132513,-0.0006690089976668389
ge-2015,independent,Independent,Independent,103426,0.003375099975254401,1,0.0015408320493066256,-0.0018342679259477754
ge-2015,social-democratic-and-labour-party,Social Democratic & Labour Party,Social Democratic & Labour Party,99809,0.003257066438131287,3,0.004622496147919877,0.00136542970978859
ge-2015,alliance,Alliance,Alliance,61556,0.002008756541650648,0,0,-0.002008756541650648
ge-2015,trade-unionist-and-socialist-coalition,Trade Unionist and Socialist Coalition,Trade Unionist and Socialist Coalition,34061,0.0011115123881532704,0,0,-0.0011115123881532704
ge-2015,traditional-unionist-voice,Traditional Unionist Voice,Traditional Unionist Voice,16538,0.0005396844448277734,0,0,-0.0005396844448277734
ge-2015,national-health-action-party,National Health Action Party,National Health Action Party,12999,0.0004241962811897585,0,0,-0.0004241962811897585
ge-2015,respect-party,Respect Party,Respect Party,9989,0.0003259709710596582,0,0,-0.0003259709710596582
ge-2015,cannabis-is-safer-than-alcohol,Cannabis Is Safer Than Alcohol,Cannabis Is Safer Than Alcohol,8419,0.00027473717142369235,0,0,-0.00027473717142369235
ge-2015,independent-kidderminster-hospital-and-health-concern,Independent Kidderminster Hospital and Health Concern,Independent Kidderminster Hospital and Health Concern,7211,0.0002353165153980574,0,0,-0.0002353165153980574
ge-2015,green-party-northern-ireland,Green Party Northern Ireland,Green Party Northern Ireland,6822,0.00022262228096596142,0,0,-0.00022262228096596142
ge-2015,yorkshire-first,Yorkshire First,Yorkshire First,6811,0.00022226331803857567,0,0,-0.00022226331803857567
ge-2015,people-before-profit-alliance,People Before Profit Alliance,People Before Profit Alliance,6798,0.0002218390891243925,0,0,-0.0002218390891243925
ge-2015,english-democrats,English Democrats,English Democrats,6531,0.00021312607988693843,0,0,-0.00021312607988693843
ge-2015,mebyon-kernow-the-party-for-cornwall,Mebyon Kernow - The Party for Cornwall,Mebyon Kernow - The Party for Cornwall,5675,0.00018519223753764747,0,0,-0.00018519223753764747
ge-2015,lincolnshire-independents-lincolnshire-first,Lincolnshire Independents Lincolnshire First,Lincolnshire Independents Lincolnshire First,5407,0.0001764465953067947,0,0,-0.0001764465953067947
ge-2015,liberal,Liberal,Liberal,4480,0.0001461958104261957,0,0,-0.0001461958104261957
ge-2015,official-monster-raving-loony-party,Official Monster Raving Loony Party,Official Monster Raving Loony Party,3898,0.00012720340826814975,0,0,-0.00012720340826814975
ge-2015,independent-save-withybush-save-lives,Independent Save Withybush Save Lives,Independent Save Withybush Save Lives,3729,0.0001216884323837687,0,0,-0.0001216884323837687
ge-2015,socialist-labour-party,Socialist Labour Party,Socialist Labour Party,3481,0.00011359545002089,0,0,-0.00011359545002089
ge-2015,christian-peoples-alliance,Christian Peoples Alliance,Christian Peoples Alliance,3260,0.00010638355847977634,0,0,-0.00010638355847977634
ge-2015,christian-party-proclaiming-christ-s-lordship,"Christian Party, Proclaiming Christ's Lordship","Christian Party, Proclaiming Christ's Lordship",3205,0.0001045887438428476,0,0,-0.0001045887438428476
ge-2015,left-unity,Left Unity,Left Unity,2884,0.00009411355296186348,0,0,-0.00009411355296186348
ge-2015,the-workers-party,The Workers' Party,The Workers' Party,2724,0.00008889227401807078,0,0,-0.00008889227401807078
ge-2015,the-north-east-party,The North East Party,The North East Party,2138,0.00006976933988643,0,0,-0.00006976933988643
ge-2015,the-party-for-poole-people-ltd,The Party for Poole People Ltd.,The Party for Poole People Ltd.,1766,0.00005762986634211197,0,0,-0.00005762986634211197
ge-2015,british-national-party,British National Party,British National Party,1667,0.00005439919999564023,0,0,-0.00005439919999564023
ge-2015,residents-for-uttlesford,Residents for Uttlesford,Residents for Uttlesford,1658,0.00005410550305505189,0,0,-0.00005410550305505189
ge-2015,rochdale-first-party,Rochdale First Party,Rochdale First Party,1535,0.00005009164486701125,0,0,-0.00005009164486701125
ge-2015,communist-party-of-britain,Communist Party of Britain,Communist Party of Britain,1229,0.00004010594888700771,0,0,-0.00004010594888700771
ge-2015,pirate-party-uk,Pirate Party UK,Pirate Party UK,1130,0.00003687528254053597,0,0,-0.00003687528254053597
ge-2015,national-front,National Front,National Front,1114,0.0000363531546461567,0,0,-0.0000363531546461567
ge-2015,communities-united-party,Communities United Party,Communities United Party,1102,0.000035961558725372246,0,0,-0.000035961558725372246
ge-2015,people-before-profit,People Before Profit,People Before Profit,1056,0.00003446044102903184,0,0,-0.00003446044102903184
ge-2015,we-are-the-reality-party,We Are The Reality Party,We Are The Reality Party,1029,0.00003357935020726682,0,0,-0.00003357935020726682
ge-2015,the-southport-party,The Southport Party,The Southport Party,992,0.00003237192945151476,0,0,-0.00003237192945151476
ge-2015,all-people-s-party,All People's Party,All People's Party,981,0.00003201296652412901,0,0,-0.00003201296652412901
ge-2015,the-peace-party-non-violence-justice-environment,"The Peace Party - Non-violence, Justice, Environment","The Peace Party - Non-violence, Justice, Environment",957,0.00003122977468256011,0,0,-0.00003122977468256011
ge-2015,bournemouth-independent-alliance,Bournemouth Independent Alliance,Bournemouth Independent Alliance,903,0.000029467593039030072,0,0,-0.000029467593039030072
ge-2015,the-socialist-party-of-great-britain,The Socialist Party of Great Britain,The Socialist Party of Great Britain,899,0.000029337061065435254,0,0,-0.000029337061065435254
ge-2015,scottish-socialist-party,Scottish Socialist Party,Scottish Socialist Party,875,0.00002855386922386635,0,0,-0.00002855386922386635
