election_id,party_id,party_display_name,party_source_label,votes,vote_share,seats,seat_share,seat_delta
ge-2024,labour-party,Labour Party,Labour,9708716,0.33739666859609413,411,0.6332819722650231,0.295885303668929
ge-2024,conservative-party,Conservative Party,Conservative,6828925,0.23731835858547948,121,0.1864406779661017,-0.05087768061937778
ge-2024,reform-uk,Reform UK,Reform UK,4117610,0.14309491559728013,5,0.007704160246533128,-0.13539075535074702
ge-2024,liberal-democrats,Liberal Democrats,Liberal Democrat,3519143,0.12229702923777608,72,0.11093990755007704,-0.011357121687699034
ge-2024,green-party,Green Party,Green,1931146,0.06711106051229357,4,0.0061633281972265025,-0.06094773231506707
ge-2024,scottish-national-party,Scottish National Party,Scottish National Party,724758,0.025186742998597134,9,0.01386748844375963,-0.011319254554837503
ge-2024,independent,Independent,Independent,564042,0.01960155099276548,6,0.009244992295839754,-0.010356558696925726
ge-2024,sinn-fein,Sinn Féin,Sinn Fein,210891,0.007328870350816615,7,0.01078582434514638,0.003456953994329765
ge-2024,workers-party-of-britain,Workers Party of Britain,Workers Party of Britain,210252,0.007306663864270618,0,0,-0.007306663864270618
ge-2024,plaid-cymru,Plaid Cymru,Plaid Cymru,194811,0.0067700592339783846,4,0.0061633281972265025,-0.000606731036751882
ge-2024,democratic-unionist-party,Democratic Unionist Party,Democratic Unionist Party,172058,0.005979348454039315,5,0.007704160246533128,0.0017248117924938133
ge-2024,alliance,Alliance,Alliance,117191,0.004072614029439615,1,0.0015408320493066256,-0.00253178198013299
ge-2024,ulster-unionist-party,Ulster Unionist Party,Ulster Unionist Party,94779,0.003293753659378769,1,0.0015408320493066256,-0.0017529216100721434
ge-2024,social-democratic-and-labour-party,Social Democratic and Labour Party,Social Democratic and Labour Party,86861,0.003018587837045118,2,0.0030816640986132513,0.00006307626156813306
ge-2024,traditional-unionist-voice,Traditional Unionist Voice,Traditional Unionist Voice,48685,0.0016918979616460962,1,0.0015408320493066256,-0.0001510659123394706
ge-2024,social-democratic-party,Social Democratic Party,Social Democratic Party,33811,0.0011749976785707336,0,0,-0.0011749976785707336
ge-2024,the-yorkshire-party,The Yorkshire Party,The Yorkshire Party,17236,0.0005989843538447595,0,0,-0.0005989843538447595
ge-2024,independent-network,Independent Network,Independent Network,13663,0.00047481568963686174,0,0,-0.00047481568963686174
ge-2024,trade-unionist-and-socialist-coalition,Trade Unionist and Socialist Coalition,Trade Unionist and Socialist Coalition,12269,0.00042637149207016444,0,0,-0.00042637149207016444
ge-2024,alba-party,Alba Party,Alba Party,11784,0.00040951680353368795,0,0,-0.00040951680353368795
ge-2024,rejoin-eu,Rejoin EU,Rejoin EU,9288,0.000322775973457306,0,0,-0.000322775973457306
