election_id,party_id,party_display_name,party_source_label,votes,vote_share,seats,seat_share,seat_delta
ge-2010,conservative-party,Conservative Party,Conservative,10703654,0.36113083625645426,306,0.4714946070878274,0.11036377083137316
ge-2010,labour-party,Labour Party,Labour,8606517,0.2903754812576518,258,0.3975346687211094,0.1071591874634576
ge-2010,liberal-democrats,Liberal Democrats,Liberal Democrat,6836248,0.23064833346598393,57,0.08782742681047766,-0.14282090665550629
ge-2010,uk-independence-party,UK Independence Party,UK Independence Party,911070,0.03073861234566885,0,0,-0.03073861234566885
ge-2010,british-national-party,British National Party,British National Party,563341,0.019006575364594856,0,0,-0.019006575364594856
ge-2010,scottish-national-party,Scottish National Party,Scottish National Party,491386,0.016578883912420378,6,0.009244992295839754,-0.007333891616580624
ge-2010,independent,Independent,Independent,286404,0.009662991351102485,1,0.0015408320493066256,-0.00812215930179586
ge-2010,green-party,Green Party,Scottish Green Party,282070,0.009516766422275799,1,0.0015408320493066256,-0.007975934372969173
ge-2010,sinn-fein,Sinn Féin,Sinn Féin,171942,0.005801155217424559,5,0.007704160246533128,0.001903005029108569
ge-2010,democratic-unionist-party,Democratic Unionist Party,Democratic Unionist Party,168216,0.005675443615023029,8,0.012326656394453005,0.006651212779429976
ge-2010,plaid-cymru,Plaid Cymru,Plaid Cymru,165394,0.005580232090069428,3,0.004622496147919877,-0.0009577359421495506
ge-2010,social-democratic-and-labour-party,Social Democratic & Labour Party,Social Democratic & Labour Party,110970,0.0037440194628281824,3,0.004622496147919877,0.0008784766850916947
ge-2010,english-democrats,English Democrats,English Democrats,64826,0.0021871659520347818,0,0,-0.0021871659520347818
ge-2010,alliance,Alliance,Alliance,42762,0.0014427481325534714,1,0.0015408320493066256,0.00009808391675315419
ge-2010,respect-party,Respect Party,Respect Party,33251,0.0011218562778994314,0,0,-0.0011218562778994314
ge-2010,traditional-unionist-voice,Traditional Unionist Voice,Traditional Unionist Voice,26300,0.0008873363239828891,0,0,-0.0008873363239828891
ge-2010,christian-party-proclaiming-christ-s-lordship,"Christian Party, Proclaiming Christ's Lordship","Christian Party, Proclaiming Christ's Lordship",18253,0.0006158384000631054,0,0,-0.0006158384000631054
